path	line	string	context
app/src/main/java/com/aeriotv/android/Navigation.kt	771	Drive Sync isn't set up yet	title = { androidx.compose.material3.Text("Drive Sync isn't set up yet") },
app/src/main/java/com/aeriotv/android/Navigation.kt	1536	Episode	title = episode?.displayName ?: "Episode",
app/src/main/java/com/aeriotv/android/Navigation.kt	1548	Episode	title = episode?.displayName ?: "Episode",
app/src/main/java/com/aeriotv/android/ui/TmdbAttribution.kt	31	The Movie Database	contentDescription = "The Movie Database",
app/src/main/java/com/aeriotv/android/ui/TmdbAttribution.kt	37	This product uses the TMDB API but is not endorsed or certified by TMDB.	text = "This product uses the TMDB API but is not endorsed or certified by TMDB.",
app/src/main/java/com/aeriotv/android/ui/TmdbAttribution.kt	42	TMDB data is used only after configuring a TMDB API key in Settings > App Behaviors.	text = "TMDB data is used only after configuring a TMDB API key in Settings > App Behaviors.",
app/src/main/java/com/aeriotv/android/feature/onboarding/WelcomeScreen.kt	255	Melde dich an, um Wiedergabelisten, Wiedergabefortschritt, Erinnerungen und Einstellungen auf deinen Geräten zu synchronisieren.	subtitle = "Melde dich an, um Wiedergabelisten, Wiedergabefortschritt, Erinnerungen und Einstellungen auf deinen Geräten zu synchronisieren.",
app/src/main/java/com/aeriotv/android/feature/onboarding/WelcomeScreen.kt	287	Server verbinden	title = "Server verbinden",
app/src/main/java/com/aeriotv/android/feature/onboarding/OnboardingSyncProgressScreen.kt	100	Restoring Your Data	text = "Restoring Your Data",
app/src/main/java/com/aeriotv/android/feature/onboarding/OnboardingSyncProgressScreen.kt	107	Pulling your synced setup from Google Drive	text = "Pulling your synced setup from Google Drive",
app/src/main/java/com/aeriotv/android/feature/onboarding/OnboardingSyncProgressScreen.kt	133	Channels & Guide	label = "Channels & Guide",
app/src/main/java/com/aeriotv/android/feature/onboarding/OnboardingSyncCategoryChooser.kt	96	What should come in from Drive?	text = "What should come in from Drive?",
app/src/main/java/com/aeriotv/android/feature/onboarding/OnboardingSyncCategoryChooser.kt	102	You can change any of this later in Settings, and each 	text = "You can change any of this later in Settings, and each " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ChooseSourceTypeScreen.kt	116	Choose Source Type	text = "Choose Source Type",
app/src/main/java/com/aeriotv/android/feature/onboarding/ChooseSourceTypeScreen.kt	123	Select how you want to connect to your media source.	text = "Select how you want to connect to your media source.",
app/src/main/java/com/aeriotv/android/feature/onboarding/ChooseSourceTypeScreen.kt	134	Connect to Dispatcharr with your admin login or a personal API key 	subtitle = "Connect to Dispatcharr with your admin login or a personal API key " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ChooseSourceTypeScreen.kt	141	Xtream Codes API. Live TV, VOD movies & series.	subtitle = "Xtream Codes API. Live TV, VOD movies & series.",
app/src/main/java/com/aeriotv/android/feature/onboarding/ChooseSourceTypeScreen.kt	147	Any M3U playlist URL. Works with Dispatcharr, any IPTV provider.	subtitle = "Any M3U playlist URL. Works with Dispatcharr, any IPTV provider.",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	132	Connect to Dispatcharr with your admin login or a personal API key 	cardSubtitle = "Connect to Dispatcharr with your admin login or a personal API key " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	138	Xtream Codes API. Live TV, VOD movies & series.	cardSubtitle = "Xtream Codes API. Live TV, VOD movies & series."
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	143	Any M3U playlist URL. Works with Dispatcharr, any IPTV provider.	cardSubtitle = "Any M3U playlist URL. Works with Dispatcharr, any IPTV provider."
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	311	Test Connection	text = "Test Connection",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	335	Name	LabeledField(label = "Name") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	339	My IPTV Server	placeholder = "My IPTV Server",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	345	Server URL	LabeledField(label = "Server URL") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	370	Paste your admin API key	placeholder = "Paste your admin API key",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	385	Use a Dispatcharr Admin API Key (System -> Users -> Edit User -> API & XC). 	text = "Use a Dispatcharr Admin API Key (System -> Users -> Edit User -> API & XC). " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	392	Username	LabeledField(label = "Username") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	396	Dispatcharr admin username	placeholder = "Dispatcharr admin username",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	402	Password	label = "Password",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	405	Dispatcharr admin password	placeholder = "Dispatcharr admin password",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	409	Use your Dispatcharr Dashboard password (System -> Users -> Account tab), 	text = "Use your Dispatcharr Dashboard password (System -> Users -> Account tab), " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	415	Save credentials and refresh automatically. AerioTV signs in with these 	text = "Save credentials and refresh automatically. AerioTV signs in with these " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	426	Name	LabeledField(label = "Name") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	430	My IPTV Server	placeholder = "My IPTV Server",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	435	Server URL	LabeledField(label = "Server URL") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	445	Username	LabeledField(label = "Username") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	449	XC Username	placeholder = "XC Username",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	455	Password	label = "Password",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	458	XC Password	placeholder = "XC Password",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	462	Enter your Xtream Codes server URL and credentials. Dispatcharr users: use your 	text = "Enter your Xtream Codes server URL and credentials. Dispatcharr users: use your " +
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	470	Name	LabeledField(label = "Name") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	474	My IPTV Server	placeholder = "My IPTV Server",
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	505	Import M3U from a file instead	ImportFileLink(label = "Import M3U from a file instead") {
app/src/main/java/com/aeriotv/android/feature/onboarding/ConfigureSourceScreen.kt	531	Import XMLTV from a file instead	ImportFileLink(label = "Import XMLTV from a file instead") {
