path	line	string	context
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	52	Install unknown apps	* Two steps can kill the process mid-flow (the "Install unknown apps" grant
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	128	A new release is being published. Try again in a minute.	"A new release is being published. Try again in a minute.", null,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	132	Update check failed: ${outcome.message}	_state.value = UpdateState.Error("Update check failed: ${outcome.message}", null)
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	134	auto-check failed silently: ${outcome.message}	Log.i(TAG, "auto-check failed silently: ${outcome.message}")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	147	AerioTV-${info.versionName}.apk	val target = File(dir, "AerioTV-${info.versionName}.apk")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	150	Not enough free space to download the update.	"Not enough free space to download the update.", info,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	166	Download failed: ${t.message ?: t::class.simpleName}	"Download failed: ${t.message ?: t::class.simpleName}", info,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	185	A recording is in progress. Finish or stop it, then install the update.	"A recording is in progress. Finish or stop it, then install the update.",
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	194	The downloaded update is missing. Download it again.	"The downloaded update is missing. Download it again.", info,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	212	Install failed: ${t.message ?: t::class.simpleName}	"Install failed: ${t.message ?: t::class.simpleName}", info,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	291	Install failed (status $status)	message ?: "Install failed (status $status)", info,
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	321	HTTP ${response.status.value}	throw IllegalStateException("HTTP ${response.status.value}")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	355	verify failed: $message	Log.w(TAG, "verify failed: $message")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	361	The download is incomplete (size mismatch). Try again.	return fail("The download is incomplete (size mismatch). Try again.")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	369	The downloaded file is not a readable APK.	?: return fail("The downloaded file is not a readable APK.")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	371	The downloaded APK is not AerioTV (${archive.packageName}).	return fail("The downloaded APK is not AerioTV (${archive.packageName}).")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	377	The release's version code ($archiveCode) is not newer than the installed 	"The release's version code ($archiveCode) is not newer than the installed " +
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	378	one ($currentCode), so Android would refuse it.	"one ($currentCode), so Android would refuse it.",
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	383	Could not read the APK's signing certificate.	return fail("Could not read the APK's signing certificate.")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	386	The APK's signing certificate does not match this app. Refusing to install.	return fail("The APK's signing certificate does not match this app. Refusing to install.")
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	428	package:${context.packageName}	Uri.parse("package:${context.packageName}"),
app/src/github/java/com/aeriotv/android/core/update/GithubUpdateManager.kt	439	Open Settings > Apps > Security and allow AerioTV to install apps, 	"Open Settings > Apps > Security and allow AerioTV to install apps, " +
app/src/github/java/com/aeriotv/android/core/update/InstallStatusReceiver.kt	36	install session status=$status message=$message	Log.i(TAG, "install session status=$status message=$message")
app/src/github/java/com/aeriotv/android/core/update/UpdateChecker.kt	71	network error	return Outcome.Failed(t.message ?: "network error")
app/src/github/java/com/aeriotv/android/core/update/UpdateChecker.kt	79	HTTP ${response.status.value}	return Outcome.Failed("HTTP ${response.status.value}")
app/src/github/java/com/aeriotv/android/core/update/UpdateChecker.kt	84	bad response: ${t.message}	return Outcome.Failed("bad response: ${t.message}")
app/src/main/java/com/aeriotv/android/AerioTVApplication.kt	182	Casting to <TV>	// GH #33: standalone "Casting to <TV>" notification driven by cast state,
app/src/main/java/com/aeriotv/android/AerioTVApplication.kt	210	AerioTV crashes on the Google TV Streamer	// "AerioTV crashes on the Google TV Streamer" reports - by the time a
app/src/main/java/com/aeriotv/android/MainActivity.kt	80	Would you like to close AerioTV?	* surface the "Would you like to close AerioTV?" confirm (issue #16: the
app/src/main/java/com/aeriotv/android/MainActivity.kt	108	bring me back to fullscreen	* the "bring me back to fullscreen" affordance while the mini-player is
app/src/main/java/com/aeriotv/android/MainActivity.kt	307	close AerioTV?	* A LONG back (onKeyLongPress) surfaces the "close AerioTV?" confirm (issue
app/src/main/java/com/aeriotv/android/MainActivity.kt	322	close AerioTV?	// Issue #16: holding BACK on Android TV surfaces the "close AerioTV?"
app/src/main/java/com/aeriotv/android/MainActivity.kt	463	onStop: TV leave -> stopping playback	android.util.Log.i("AerioLeave", "onStop: TV leave -> stopping playback")
app/src/main/java/com/aeriotv/android/MainActivity.kt	524	audio still plays after Exit	// "audio still plays after Exit" report). Gated on isFinishing so a
